SIZE,C_Basic_matmul,C_M1_b16(64reg_core),C_M1_b8(normal_core),C_M2_b2(normal_core),C_M2_b4(64reg_core),C_M2_b4_v2(64reg_core)
16,28697,20577,26011,21899,22443,20165
24,186944,30336,77450,68027,67751,50452
32,526364,157501,179662,158100,154441,112440
40,1241926,194419,347911,305935,295358,216121
48,2268115,523369,600669,541731,512267,370836
56,4155374,622671,977224,874726,824003,590663
64,6529714,1269520,1517133,1320418,1244350,903552
72,3906600,1479447,2198738,1893530,1798804,1327710
80,5451789,2590108,3064856,2642837,2506205,1905856
88,7621714,2890137,4159254,3708635,3487124,2630626
96,11548775,4582129,5482191,5352768,4783533,3735601
104,15955308,5003768,7097053,7508414,6383981,4923423
112,22082659,7370940,8935942,10036354,8270329,6422707
120,27858895,7949552,11096467,12943474,10409821,8132600
128,70954249,11086177,13564602,16272202,12927638,10131222
136,42438223,11819714,16310968,19911053,15750344,12902186
144,53438685,15920425,19429562,23976479,18845791,15471669
152,61071365,16802818,22908369,28464889,22337898,18385024
160,84412311,21927661,26795677,33489811,26161139,21570108
168,84346990,23023498,31044055,39003272,30369747,25058964
176,102497504,29298317,35736241,44866204,35464936,28923977
184,113319322,30635048,40892653,51641736,40603478,33122593
192,226353663,37698827,46548213,58873467,46190686,37720818
200,145272787,39245016,52557883,66522500,51692202,40510987
208,172516862,47961369,59143522,74991280,58246739,45673829
216,183680510,50131612,66474574,83946338,65889534,53867216
224,267229616,60205321,74060245,93837852,72851830,57165456
232,228944406,62602626,82303390,104257440,80936238,63501189
240,272597711,74954976,91431733,115604499,90607251,74141255
248,282229796,77227992,100723710,127583494,99043777,77769618
256,642984020,91517469,111748072,141128285,108987384,90208513
